Molecule Name,Total Molweight,Molweight,cLogP,cLogS,H-Acceptors,H-Donors,Total Surface Area,Relative PSA,Polar Surface Area,Druglikeness,Mutagenic,Tumorigenic,Reproductive Effective,Irritant,Rotatable Bonds,Ligand,Binding Affinity,Extracted_ZINC,Is_Correct_Alignment
ZINC15676567,294.374,294.374,-0.9726,-1.145,6,1,218.04,0.21326,65.68,-0.17186,none,none,none,none,4,hur_model_ZINC15676567_uff_E=480.15,-5.5,ZINC15676567,True
ZINC15676571,318.327,318.327,-1.1209,-1.752,6,1,223.2,0.20833,65.68,1.5061,none,none,none,none,3,hur_model_ZINC15676571_uff_E=568.31,-6.4,ZINC15676571,True
ZINC30878645,378.535,378.535,-0.8713,-0.862,6,2,321.66,0.18911,57.45,5.1804,none,none,none,none,9,hur_model_ZINC30878645_uff_E=426.77,-5.9,ZINC30878645,True
ZINC20465158,370.472,370.472,-0.8311,-0.994,8,4,270.99,0.36762,125.54,8.3458,none,none,none,none,5,hur_model_ZINC20465158_uff_E=638.98,-5.9,ZINC20465158,True
ZINC00666053,464.953,464.953,-0.0635,-2.691,9,1,317.15,0.26527,114.53,3.5686,none,none,none,none,5,hur_model_ZINC00666053_uff_E=617.81,-6.9,ZINC00666053,True
ZINC15707057,454.956,454.956,-1.7466,-3.177,7,3,345.05,0.20867,78.91,1.4795,none,none,none,none,7,hur_model_ZINC15707057_uff_E=616.81,-8.0,ZINC15707057,True
ZINC15676575,306.365,306.365,-1.3551,-1.448,6,1,212.79,0.31421,93.92,4.5921,none,none,none,none,3,hur_model_ZINC15676575_uff_E=699.93,-5.8,ZINC15676575,True
ZINC20465161,364.444,364.444,-0.6155,-1.094,8,4,275.05,0.28817,97.3,7.6247,none,none,none,none,5,hur_model_ZINC20465161_uff_E=574.17,-7.0,ZINC20465161,True
ZINC15707060,423.511,423.511,-2.1963,-2.135,7,2,332.68,0.2029,68.27,0.31708,none,none,none,none,8,hur_model_ZINC15707060_uff_E=554.50,-6.9,ZINC15707060,True
ZINC12530202,234.302,234.302,-0.2939,-0.511,5,1,180.26,0.25019,52.23,7.7056,none,none,none,none,1,hur_model_ZINC12530202_uff_E=517.15,-5.9,ZINC12530202,True
ZINC15676579,343.338,343.338,-3.8126,-1.451,8,1,242.13,0.30488,105.81,2.9882,none,none,none,none,4,hur_model_ZINC15676579_uff_E=619.12,-6.5,ZINC15676579,True
ZINC15707063,418.495,418.495,-2.2907,-2.89,7,2,332.13,0.21395,82.83,-3.9629,none,none,none,none,7,hur_model_ZINC15707063_uff_E=739.22,-8.0,ZINC15707063,True
ZINC15676583,364.445,364.445,-1.1428,-1.209,7,1,255.2,0.2431,91.13,-4.6281,none,none,none,none,5,hur_model_ZINC15676583_uff_E=904.89,-6.2,ZINC15676583,True
ZINC30878657,455.572,455.572,2.4696,-3.167,6,1,350.97,0.13332,56.25,7.891,none,none,none,none,7,hur_model_ZINC30878657_uff_E=537.35,-7.8,ZINC30878657,True
ZINC15707069,421.539,421.539,-1.2418,-2.499,6,2,337.94,0.17015,59.04,-0.73292,none,none,none,none,9,hur_model_ZINC15707069_uff_E=570.64,-7.6,ZINC15707069,True
ZINC15676585,415.493,415.493,-0.8268,-1.915,8,1,288.56,0.25301,104.02,2.4725,none,none,none,none,5,hur_model_ZINC15676585_uff_E=958.91,-6.8,ZINC15676585,True
ZINC20465168,448.44,448.44,0.4835,-2.117,9,4,314.51,0.28381,106.53,-0.37533,none,none,none,none,7,hur_model_ZINC20465168_uff_E=487.33,-6.7,ZINC20465168,True
ZINC15676587,382.435,382.435,-1.042,-1.523,7,1,261.55,0.2372,91.13,0.34502,none,none,none,none,5,hur_model_ZINC15676587_uff_E=903.99,-5.8,ZINC15676587,True
ZINC15676589,394.471,394.471,-1.2128,-1.227,8,1,277.46,0.25964,100.36,2.9543,none,none,none,none,6,hur_model_ZINC15676589_uff_E=927.45,-5.6,ZINC15676589,True
ZINC15707072,450.537,450.537,-2.4226,-2.459,8,3,351.89,0.23303,88.14,1.4092,none,none,none,none,8,hur_model_ZINC15707072_uff_E=625.39,-7.8,ZINC15707072,True
ZINC20465171,398.889,398.889,-0.0094996,-1.83,8,4,290.47,0.27287,97.3,7.6748,none,none,none,none,5,hur_model_ZINC20465171_uff_E=578.24,-6.2,ZINC20465171,True
ZINC15707075,470.571,470.571,-1.377,-3.1,7,2,368.94,0.18559,71.93,0.31708,none,none,none,none,8,hur_model_ZINC15707075_uff_E=643.55,-8.2,ZINC15707075,True
ZINC30878669,376.519,376.519,-1.2361,-1.008,6,2,311.16,0.19549,57.45,5.5729,none,none,none,none,6,hur_model_ZINC30878669_uff_E=419.77,-6.5,ZINC30878669,True
ZINC20465174,394.47,394.47,-0.6855,-1.112,9,4,297.31,0.30023,106.53,7.6843,none,none,none,none,6,hur_model_ZINC20465174_uff_E=600.67,-6.4,ZINC20465174,True
ZINC15707078,471.576,471.576,-3.1243,-2.534,8,2,351.26,0.24506,101.56,2.2771,none,none,none,none,8,hur_model_ZINC15707078_uff_E=957.20,-7.6,ZINC15707078,True
ZINC20465177,424.496,424.496,-0.7555,-1.13,10,4,319.57,0.3106,115.76,7.6843,none,none,none,none,7,hur_model_ZINC20465177_uff_E=534.97,-5.6,ZINC20465177,True
