Ligand,Binding Affinity
hur_model_ZINC15707240_uff_E=1116.18,-8.8
hur_model_ZINC02192270_uff_E=856.91,-8.8
hur_model_ZINC02192707_uff_E=892.63,-8.8
hur_model_ZINC15675534_uff_E=708.27,-8.8
hur_model_ZINC15675538_uff_E=705.30,-8.8
hur_model_ZINC15675540_uff_E=718.52,-8.8
hur_model_ZINC15675542_uff_E=941.87,-8.8
hur_model_ZINC15675542_uff_E=941.87,-8.8
hur_model_ZINC15707270_uff_E=700.90,-8.8
hur_model_ZINC20504516_uff_E=766.08,-8.8
hur_model_ZINC20353138_uff_E=305.23,-8.8
hur_model_ZINC72320676_uff_E=817.48,-8.8
hur_model_ZINC72320697_uff_E=775.42,-8.8
hur_model_ZINC72320697_uff_E=775.42,-8.8
hur_model_ZINC72320703_uff_E=741.96,-8.8
hur_model_ZINC72320714_uff_E=743.15,-8.8
hur_model_ZINC72320843_uff_E=547.19,-8.8
hur_model_ZINC12530134_uff_E=899.01,-8.8
hur_model_ZINC67870595_uff_E=1343.37,-8.8
hur_model_ZINC67870820_uff_E=878.40,-8.8
hur_model_ZINC67870822_uff_E=755.69,-8.8
hur_model_ZINC67870836_uff_E=817.72,-8.8
hur_model_ZINC35425288_uff_E=932.43,-8.8
hur_model_ZINC67898597_uff_E=764.11,-8.8
hur_model_ZINC77267343_uff_E=627.55,-8.8
hur_model_ZINC67898836_uff_E=564.42,-8.8
hur_model_ZINC04221980_uff_E=1129.57,-8.8
hur_model_ZINC77267530_uff_E=1183.34,-8.8
hur_model_ZINC05412523_uff_E=970.43,-8.8
hur_model_ZINC20462752_uff_E=1048.52,-8.8
hur_model_ZINC20462762_uff_E=1188.62,-8.8
hur_model_ZINC15675540_uff_E=728.74,-8.8
hur_model_ZINC15675544_uff_E=733.67,-8.8
hur_model_ZINC15675548_uff_E=717.01,-8.8
hur_model_ZINC15675556_uff_E=713.84,-8.8
hur_model_ZINC15675606_uff_E=714.26,-8.8
hur_model_ZINC15675622_uff_E=943.45,-8.8
hur_model_ZINC15675624_uff_E=749.01,-8.8
hur_model_ZINC19360185_uff_E=521.80,-8.8
hur_model_ZINC15675662_uff_E=913.25,-8.8
hur_model_ZINC15675762_uff_E=798.33,-8.8
hur_model_ZINC15675764_uff_E=772.67,-8.8
hur_model_ZINC15675764_uff_E=772.67,-8.8
hur_model_ZINC15675552_uff_E=699.48,-8.8
hur_model_ZINC15675750_uff_E=717.51,-8.8
hur_model_ZINC15675806_uff_E=739.51,-8.8
hur_model_ZINC15675808_uff_E=797.54,-8.8
hur_model_ZINC15675916_uff_E=661.40,-8.8
hur_model_ZINC49154939_uff_E=674.65,-8.8
hur_model_ZINC15675924_uff_E=760.36,-8.8
hur_model_ZINC20464237_uff_E=701.04,-8.8
hur_model_ZINC49154966_uff_E=889.71,-8.8
hur_model_ZINC15676072_uff_E=1107.88,-8.8
hur_model_ZINC15675944_uff_E=855.44,-8.8
hur_model_ZINC49155090_uff_E=718.34,-8.8
hur_model_ZINC20464373_uff_E=740.79,-8.8
hur_model_ZINC00680555_uff_E=652.58,-8.8
hur_model_ZINC20464426_uff_E=1240.85,-8.8
hur_model_ZINC15676028_uff_E=815.51,-8.8
hur_model_ZINC20464445_uff_E=1599.80,-8.8
hur_model_ZINC15676047_uff_E=720.24,-8.8
hur_model_ZINC67879158_uff_E=725.20,-8.8
hur_model_ZINC12530140_uff_E=797.78,-8.8
hur_model_ZINC15676059_uff_E=798.22,-8.8
hur_model_ZINC20464500_uff_E=833.09,-8.8
hur_model_ZINC15676068_uff_E=829.18,-8.8
hur_model_ZINC67879259_uff_E=807.52,-8.8
hur_model_ZINC67879341_uff_E=808.37,-8.8
hur_model_ZINC49590612_uff_E=701.41,-8.8
hur_model_ZINC49154979_uff_E=702.72,-8.8
hur_model_ZINC15676357_uff_E=634.22,-8.8
hur_model_ZINC15676357_uff_E=649.18,-8.8
hur_model_ZINC67879604_uff_E=721.80,-8.8
hur_model_ZINC67879604_uff_E=721.80,-8.8
